Participant ID,Assessment Date,Age Group,Gender,Country,Highest Education Level,Employment Status,Career Stage,Years of Experience,Current Job Function,Industry / Sector,Current Role Level,Career Interest,Previous AI Exposure,TG Nexus Cohort,Overall Baseline Score,Strategic Thinking Pre,Problem Solving Pre,Decision Making Pre,Leadership Pre,Adaptability Pre,Digital Capability Pre,AI Knowledge Pre,AI Application Pre,AI Judgement Pre,Data Literacy Pre,Primary Gap Identified,Intervention Type,Personalised Intervention,AI-Supported Recommendation,Intervention Start Date,Intervention End Date,Learning / Contact Hours,Completion Rate %,Engagement Level,Reassessment Date,Overall Post Score,Strategic Thinking Post,Problem Solving Post,Decision Making Post,Leadership Post,Adaptability Post,Digital Capability Post,AI Knowledge Post,AI Application Post,AI Judgement Post,Data Literacy Post,Outcome / Progression,Notes
TGN-000542,2026-09-02,25–34,Male,Nigeria,,Other,,,"Business, Management & Consulting","Business, Management & Consulting",,Business Analyst,,,67.31,68.3,36.1,60.8,80.5,82.8,87.8,43.5,54.6,60.7,55.3,Problem Solving & Critical Thinking,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001270,2026-08-12,,Male,Nigeria,Bachelor's,Student,Early Career,1+,Technology & Digital,,,Backend Development,,,92.08,92.6,99.7,87.2,94.6,92.1,97.7,80.9,76.9,70.2,70.7,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001115,2026-08-26,,,Nigeria,Bachelor's,,Early Career,0+,"Business, Management & Consulting","Business, Management & Consulting",,Business Analyst,,,99.02,100.0,97.4,100.0,96.7,99.3,100.0,86.7,69.9,84.1,74.8,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001345,2026-08-25,,,Nigeria,Bachelor's,,Early Career,0,Technology & Digital,Technology & Digital,,Data Analyst,,,91.51,80.7,100.0,79.7,95.6,95.6,96.8,70.6,70.1,71.0,89.1,Networking & Relationship Building,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001331,2026-08-26,,,Nigeria,Bachelor's,,Early Career,0+,Student & Early Career,Finance & Banking,,Financial Analyst,,,80.39,77.9,91.5,77.1,89.0,95.8,95.1,66.3,52.5,69.8,73.9,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001257,2026-08-23,,Male,Nigeria,,Other,,,"Business, Management & Consulting",,,Project Management,,,49.12,40.7,75.8,44.9,15.3,28.1,27.0,43.3,34.8,46.5,39.4,AI & Digital Career Readiness,,,Yes,,,,,,2026-08-27,50.46,,,,,,,,,,,,
TGN-001409,2026-08-31,,,Nigeria,Bachelor's,,Early Career,0,Technology & Digital,Technology & Digital,,Frontend Developer,,,86.14,93.8,97.5,87.8,89.5,96.0,36.2,76.1,77.7,69.3,67.8,Interview Readiness,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000485,2026-08-18,,Male,Nigeria,Bachelor's,Student,Early Career,0+,Technology & Digital,,,Backend Development,,,98.02,97.2,92.4,100.0,94.4,91.4,100.0,80.0,79.0,77.1,86.5,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000935,2026-08-21,18–24,Female,Nigeria,Bachelor's,Other,,,Technology & Digital,,,Backend Development,,,94.92,93.8,96.3,100.0,98.7,100.0,99.2,84.0,79.4,75.4,79.9,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000668,2026-08-26,,,Nigeria,Diploma,,Early Career,0,"Business, Management & Consulting","Business, Management & Consulting",,Product Manager,,,76.53,70.2,82.4,74.0,84.6,91.4,93.3,67.6,60.9,62.6,65.6,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000690,2026-08-19,,Male,Nigeria,Bachelor's,Other,Early Career,0+,Technology & Digital,,,Cybersecurity Analysis,,,86.6,88.0,100.0,89.6,94.9,95.0,97.0,77.2,72.6,75.7,77.4,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000296,2026-08-25,18–24,Male,Nigeria,,Other,,,Technology & Digital,Technology & Digital,,Web Developer,,,57.27,55.6,72.9,58.6,17.5,29.2,82.2,42.3,42.2,38.0,44.0,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001136,2026-06-10,25–34,Male,Nigeria,Master's,Other,Early Career,1+,tech tutor,,,Full-stack Development,,,91.0,94.9,100.0,88.9,95.9,92.6,96.1,66.4,74.4,75.1,75.2,,,,,,,,,,,,,,,,,,,,,,,
TGN-001389,2026-08-26,,,Nigeria,Bachelor's,,Early Career,0+,"Business, Management & Consulting","Business, Management & Consulting",,Business Analyst,,,89.32,98.5,42.5,91.9,95.5,100.0,96.6,77.5,77.6,67.1,67.8,Problem Solving & Critical Thinking,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001369,2026-08-25,,,Nigeria,Bachelor's,,Early Career,0+,Finance & Banking,Finance & Banking,,Accountant,,,85.26,90.5,91.3,85.9,100.0,98.1,100.0,70.1,71.4,70.9,75.8,Cover Letter & Application Writing,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001362,2026-08-25,,,Nigeria,Professional,,Early Career,0+,Technology & Digital,Technology & Digital,,Web Developer,,,84.47,82.7,91.7,76.0,90.8,96.7,98.9,65.2,61.8,69.0,75.0,LinkedIn & Digital Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000250,2026-08-18,,Male,Nigeria,Bachelor's,Other,Early Career,0+,Technology & Digital,,,Full-stack Development,,,100.0,90.2,96.4,91.9,93.9,98.0,100.0,80.5,64.4,90.1,85.5,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001361,2026-08-25,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,Technology & Digital,,Web Developer,,,98.17,97.8,91.9,100.0,97.0,97.1,99.6,88.4,79.7,77.6,71.2,LinkedIn & Digital Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001360,2026-08-25,,,Nigeria,Bachelor's,,Early Career,0,Finance & Banking,Finance & Banking,,Accountant,,,91.92,100.0,95.8,96.5,91.8,100.0,96.3,79.6,79.0,71.1,77.9,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001355,2026-08-25,18–24,Male,Nigeria,Bachelor's,Student,,,Creative Industries & Media,Creative Industries & Media,,Graphic Designer,,,82.65,81.7,92.8,87.7,90.9,97.3,89.2,68.5,58.0,65.3,62.7,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001337,2026-08-24,25–34,Male,Nigeria,Bachelor's,Other,,,Technology & Digital,,,Backend Development,,,85.71,77.2,94.2,77.2,88.4,89.5,96.9,69.8,59.7,72.6,67.6,Confidence & Professional Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000691,2026-08-20,,Male,Nigeria,Bachelor's,Other,Early Career,0+,"Business, Management & Consulting",,,Project Management,,,94.39,86.3,90.9,94.0,92.2,96.4,96.4,75.2,77.1,92.6,70.1,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001005,2026-08-20,,Male,Nigeria,,Other,,,Technology & Digital,,,Frontend Development,,,60.55,54.7,78.7,60.6,78.1,74.4,79.5,48.1,43.2,49.5,53.3,Confidence & Professional Presence,,,Yes,,,,,,2026-08-27,67.62,,,,,,,,,,,,
TGN-001367,2026-08-25,,,Nigeria,Bachelor's,,Early Career,0,"Marketing, Sales & Communications","Marketing, Sales & Communications",,Social Media Manager,,,86.79,93.1,93.4,88.6,96.7,100.0,100.0,78.7,77.5,69.6,73.8,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001595,2026-08-31,,,Nigeria,Diploma,,Early Career,0+,Customer support,Retail & Customer Services,,Customer Service Professional,,,92.38,77.4,94.8,85.0,91.8,88.1,100.0,71.0,56.7,79.6,79.3,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001672,2026-08-26,,,"Ogba, Lagos",Bachelor's,,Early Career,0,Product (UX/UI) Designer,Technology & Digital,,UX/UI Designer,,,83.18,73.1,88.9,76.9,88.7,93.5,92.7,72.5,58.5,55.8,72.1,Networking & Relationship Building,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000020,2026-08-10,,Male,Nigeria,Bachelor's,Other,Mid-Career,2+,Technology & Digital,,,Backend Development,,,90.74,90.9,94.0,85.8,98.3,100.0,100.0,77.5,74.1,89.9,65.2,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000444,2026-08-17,,Male,Nigeria,Bachelor's,Employed,Early Career,0,Technology & Digital,,,Backend Development,,,92.93,87.8,96.3,94.9,97.0,98.0,89.7,72.5,73.2,78.1,73.1,,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001703,2026-08-25,,,Nigeria,Associate,,Early Career,0,Business Analyst,Technology & Digital,,Data Analyst,,,91.89,80.6,88.5,94.5,92.9,94.4,92.7,72.9,69.9,80.8,80.8,Time Management & Productivity,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001220,2026-08-22,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Software Engineering,,,92.17,92.2,96.5,100.0,93.9,95.1,44.4,84.2,72.5,86.8,81.4,CV / Resume Development,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000035,2026-08-12,,,Nigeria,Bachelor's,,Early Career,0,Student & Early Career,,,Business Analysis,,,83.0,85.8,96.4,87.7,90.0,95.7,95.4,68.8,68.0,60.9,71.6,LinkedIn & Digital Presence,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000972,2026-08-26,,Male,Nigeria,,Student,,,Technology & Digital,Technology & Digital,,IT Business Analyst,,,59.78,63.3,79.9,60.6,75.8,85.8,88.0,54.6,50.2,47.7,55.7,Career Advancement Strategy,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000810,2026-08-19,,,Nigeria,Bachelor's,,Early Career,0,Technology & Digital,,,Backend Development,,,87.18,83.3,95.6,90.8,37.3,96.5,96.8,69.1,69.2,63.4,64.1,Cover Letter & Application Writing,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-001644,2026-08-16,,,"Ogun, Nigeria",Bachelor's,,Mid-Career,3+,Full-Stack Developer,,,Frontend Development,,,83.96,81.1,91.6,87.4,91.2,98.7,94.1,67.8,85.3,72.3,70.2,Self-Awareness & Personal Branding,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000007,2026-08-07,,,Nigeria,Bachelor's,,Early Career,0,Backend Developer,,,Backend Development,,,88.12,88.3,38.8,88.1,34.6,100.0,92.4,68.5,69.6,63.2,76.1,Leadership Potential,,,Yes,,,,,,,,,,,,,,,,,,,
TGN-000767,2026-08-19,,,Nigeria,Bachelor's,,Early Career,0+,Technology & Digital,,,Frontend Development,,,91.15,82.8,96.7,87.8,100.0,100.0,98.0,73.1,77.9,73.8,81.1,Career Advancement Strategy,,,Yes,,,,,,,,,,,,,,,,,,,
