condition,learner,seed,pehe,cate_rank_corr,value_learned_policy,value_treat_all,value_treat_none,fraction_treated_by_policy,value_oracle_policy,regret_vs_oracle
linear_moderate_confounding,linear,19,0.09807173884953084,0.9935558955347433,0.9862943454465396,0.9665150863168588,0.041611488485494987,0.92375,0.9823680195142656,-0.003926325932274044
linear_moderate_confounding,linear,20,0.06465819893178829,0.9958360139897509,0.9634823446148711,0.9403584787289897,-0.06106430466811473,0.91825,0.9602671418931118,-0.003215202721759347
linear_moderate_confounding,linear,21,0.09327158665631147,0.9941012734438295,1.0775643682457487,1.0714753366061447,0.02299746813252166,0.943,1.0702922817570788,-0.007272086488669949
linear_moderate_confounding,linear,22,0.06467403570413924,0.9956789202924323,1.0630589978555405,1.0287719485108786,-0.00698446115590027,0.9275,1.0631671489064798,0.0001081510509393091
linear_moderate_confounding,linear,23,0.04969077748393555,0.9979108806819299,1.0169790549487543,0.9695201111713204,0.0006504592821874873,0.91175,1.0124326420992562,-0.004546412849498083
linear_moderate_confounding,linear,24,0.06766077832955666,0.9970159138759945,1.0493028551675176,1.024048598472913,-0.00230762058293827,0.93675,1.043469317238039,-0.005833537929478716
linear_moderate_confounding,linear,25,0.07771926719778997,0.9931115771319735,1.002061689510393,0.9752706515154081,-0.017611200098935298,0.92525,1.0041979391550298,0.0021362496446366563
linear_moderate_confounding,linear,26,0.059099740306650606,0.9962592107037006,1.0286628575840835,1.0104349784519682,-0.009507373022036206,0.92325,1.0271602008037888,-0.0015026567802947088
linear_moderate_confounding,linear,27,0.07459431862336938,0.9953916543369783,1.031116536351618,1.0203890489707952,0.025385978291642578,0.9345,1.041827752413035,0.010711216061417117
linear_moderate_confounding,linear,28,0.08386093733527768,0.9968056404878525,1.0476418917011248,1.0166025589261054,-0.02688020195183229,0.93275,1.0500667673912334,0.00242487569010863
linear_moderate_confounding,linear,29,0.06289062945893044,0.997045856502866,1.0297679074132553,1.0266981740824486,0.033309852052714646,0.93725,1.0352954491257478,0.005527541712492479
linear_moderate_confounding,linear,30,0.10117942271864593,0.9890222703138918,1.0621028826936119,1.0447531007130177,0.016013937999662425,0.9215,1.0654351946114273,0.003332311917815467
linear_moderate_confounding,linear,31,0.10050022570745147,0.990458496966156,0.9731863306438489,0.9184485622638353,-0.04184640637993656,0.9065,0.9796134355244938,0.006427104880644907
