truth,mean_estimate,mean_bias,mean_abs_bias,rmse,empirical_sd,mean_se,ci_coverage_95,n_reps,sweep,value,estimator,mean_min_propensity,mean_treatment_rate
1.0,0.9949788329448509,-0.0050211670551489635,0.10403610825949651,0.12556328922749113,0.12652163002466887,0.1584610365914117,1.0,60,outcome_noise,4.0,ipw,0.025598909755905994,0.5007791666666667
1.0,1.0046990489461782,0.004699048946178343,0.09336520620597076,0.12010126522112516,0.12102205785800471,0.01192466925037783,0.13333333333333333,60,outcome_noise,4.0,outcome-regression,0.025598909755905994,0.5007791666666667
0.0,-0.0015332339334744275,-0.0015332339334744275,0.03165681975686517,0.03908961782547807,0.03938915899352849,0.03644846825011368,0.9166666666666666,60,placebo_permuted_treatment,permuted,aipw,0.4222529040426712,0.5007791666666667
0.0,-0.005443555136992603,-0.005443555136992603,0.05301710219142875,0.0650441029804786,0.06536289602119008,0.05849334363804438,0.9333333333333333,60,placebo_permuted_treatment,permuted,difference-in-means,0.4222529040426712,0.5007791666666667
0.0,-0.0014463424030987492,-0.0014463424030987492,0.031598045003185776,0.03894761333837769,0.03924919964735683,0.05857308363540827,1.0,60,placebo_permuted_treatment,permuted,ipw,0.4222529040426712,0.5007791666666667
0.0,-0.00136252991128598,-0.00136252991128598,0.03165883546316691,0.03877400316490203,0.03907706640715459,0.0013689347015255113,0.03333333333333333,60,placebo_permuted_treatment,permuted,outcome-regression,0.4222529040426712,0.5007791666666667
1.0,1.0002048936470864,0.00020489364708658475,0.079123007959624,0.09851682570379977,0.09934799119554154,0.11271267037066432,0.9833333333333333,60,sample_size,500,aipw,0.04873168645534654,0.49953333333333333
1.0,1.9960308152644737,0.9960308152644736,0.9960308152644736,1.0064385115581307,0.14558273059812724,0.13866814597148938,0.0,60,sample_size,500,difference-in-means,0.04873168645534654,0.49953333333333333
1.0,0.9826702893308752,-0.017329710669124785,0.09846981711291959,0.12717352716728464,0.12705045230460985,0.19502193448163324,1.0,60,sample_size,500,ipw,0.04873168645534654,0.49953333333333333
1.0,1.0040131830771435,0.0040131830771432805,0.07454274488188135,0.0948867498397998,0.09560187390945893,0.032530487305369914,0.5666666666666667,60,sample_size,500,outcome-regression,0.04873168645534654,0.49953333333333333
