seed,strategy,realised_value,regret_vs_oracle,regret_pct,spend_search,spend_email,spend_social,spend_display,spend_retargeting
230,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
231,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
231,causal,233.66181757307993,2.1858609872762145,0.9268104738698233,6,6,7,0.0,1.0
231,causal_lcb,233.66181757307993,2.1858609872762145,0.9268104738698233,6,6,7,0.0,1.0
231,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
231,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
232,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
232,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
232,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
232,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
232,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
233,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
233,causal,234.70495745359634,1.142721106759808,0.484516580250067,8,6,6,0.0,0.0
233,causal_lcb,234.70495745359634,1.142721106759808,0.484516580250067,8,6,6,0.0,0.0
233,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
233,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
234,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
234,causal,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
234,causal_lcb,235.35392779350406,0.49375076685208796,0.20935154836630349,7,6,5,0.0,2.0
234,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
234,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
235,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
235,causal,234.21985565950604,1.6278229008501057,0.6902009427383561,8,7,4,0.0,1.0
235,causal_lcb,234.21985565950604,1.6278229008501057,0.6902009427383561,8,7,4,0.0,1.0
235,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
235,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
236,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
236,causal,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
236,causal_lcb,235.8415397674334,0.006138792922740777,0.002602863407523339,7,6,6,0.0,1.0
236,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
236,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
237,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
237,causal,233.95510032902587,1.8925782313302761,0.8024578587683421,6,7,6,0.0,1.0
237,causal_lcb,233.95510032902587,1.8925782313302761,0.8024578587683421,6,7,6,0.0,1.0
237,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
237,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
238,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
238,causal,233.78669276764055,2.0609857927155986,0.8738630820095897,9,6,4,0.0,1.0
238,causal_lcb,233.78669276764055,2.0609857927155986,0.8738630820095897,9,6,4,0.0,1.0
238,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
238,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
239,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
239,causal,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
239,causal_lcb,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
239,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
239,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
240,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
240,causal,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
240,causal_lcb,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
240,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
240,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
241,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
241,causal,233.95510032902587,1.8925782313302761,0.8024578587683421,6,7,6,0.0,1.0
241,causal_lcb,233.95510032902587,1.8925782313302761,0.8024578587683421,6,7,6,0.0,1.0
241,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
241,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
242,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
242,causal,234.21985565950604,1.6278229008501057,0.6902009427383561,8,7,4,0.0,1.0
242,causal_lcb,234.21985565950604,1.6278229008501057,0.6902009427383561,8,7,4,0.0,1.0
242,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
242,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
243,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
243,causal,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
243,causal_lcb,235.29371732255282,0.5539612378033212,0.23488093721539688,7,7,5,0.0,1.0
243,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
243,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
244,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
244,causal,234.53782962843798,1.309848931918168,0.5553791921606566,7,5,6,0.0,2.0
244,causal_lcb,234.53782962843798,1.309848931918168,0.5553791921606566,7,5,6,0.0,2.0
244,historical,151.94785290101098,83.89982565934517,35.57373393347785,2,3,2,4.0,9.0
244,rule_based,190.26135402146681,45.58632453888933,19.328714540314316,4,4,2,3.0,7.0
245,oracle,235.84767856035614,0.0,0.0,8,6,5,0.0,1.0
