experiment_id,domain,heterogeneity,aggregation,seed,final_auroc,final_accuracy,worst_client_auroc,client_dispersion,convergence_round,runtime_ms,communication_bytes
P2-E1,clinical-sim,iid,trust-weighted,20261313,0.821729,0.75,0.780619,0.023456,1,32,28800
P2-E1,clinical-sim,iid,trust-weighted,20261414,0.804377,0.7475,0.786406,0.021085,1,32,28800
P2-E1,clinical-sim,iid,trust-weighted,20261515,0.823699,0.760833,0.799598,0.020245,1,33,28800
P2-E1,clinical-sim,iid,trust-weighted,20261616,0.808336,0.751667,0.807395,0.019011,1,33,28800
P2-E1,clinical-sim,iid,trust-weighted,20261717,0.815465,0.760833,0.793608,0.02534,1,32,28800
P2-E1,clinical-sim,iid,trust-weighted,20261818,0.818313,0.766667,0.795495,0.022594,1,32,28800
P2-E1,clinical-sim,iid,trust-weighted,20261919,0.820416,0.755,0.764071,0.025674,1,33,28800
P2-E1,clinical-sim,mild,fedavg,20260000,0.819644,0.738333,0.738556,0.03855,1,31,28800
P2-E1,clinical-sim,mild,fedavg,20260101,0.803048,0.741667,0.6775,0.059572,1,30,28800
P2-E1,clinical-sim,mild,fedavg,20260202,0.815768,0.745833,0.699941,0.046149,1,31,28800
P2-E1,clinical-sim,mild,fedavg,20260303,0.815633,0.765833,0.698191,0.056089,1,33,28800
P2-E1,clinical-sim,mild,fedavg,20260404,0.809837,0.739167,0.725407,0.034953,1,29,28800
P2-E1,clinical-sim,mild,fedavg,20260505,0.807532,0.759167,0.622571,0.068948,2,31,28800
P2-E1,clinical-sim,mild,fedavg,20260606,0.784397,0.703333,0.582258,0.080771,1,31,28800
P2-E1,clinical-sim,mild,fedavg,20260707,0.815748,0.749167,0.722646,0.044376,2,31,28800
P2-E1,clinical-sim,mild,fedavg,20260808,0.809494,0.750833,0.672005,0.052591,1,31,28800
P2-E1,clinical-sim,mild,fedavg,20260909,0.810112,0.763333,0.636364,0.059285,1,31,28800
P2-E1,clinical-sim,mild,fedavg,20261010,0.780486,0.7125,0.617055,0.081853,1,30,28800
P2-E1,clinical-sim,mild,fedavg,20261111,0.802924,0.7525,0.710607,0.043537,1,30,28800
P2-E1,clinical-sim,mild,fedavg,20261212,0.820881,0.771667,0.699122,0.051688,1,31,28800
P2-E1,clinical-sim,mild,fedavg,20261313,0.82124,0.7625,0.729365,0.042153,1,29,28800
P2-E1,clinical-sim,mild,fedavg,20261414,0.804349,0.7425,0.605385,0.074645,1,32,28800
P2-E1,clinical-sim,mild,fedavg,20261515,0.815085,0.760833,0.725786,0.038495,1,33,28800
P2-E1,clinical-sim,mild,fedavg,20261616,0.80355,0.736667,0.618126,0.066848,1,31,28800
P2-E1,clinical-sim,mild,fedavg,20261717,0.81713,0.759167,0.747495,0.039487,1,30,28800
P2-E1,clinical-sim,mild,fedavg,20261818,0.808318,0.723333,0.590959,0.084908,1,30,28800
P2-E1,clinical-sim,mild,fedavg,20261919,0.814373,0.755833,0.631001,0.072635,1,31,28800
P2-E1,clinical-sim,mild,fedprox,20260000,0.819644,0.738333,0.738556,0.03855,1,30,28800
P2-E1,clinical-sim,mild,fedprox,20260101,0.803048,0.741667,0.6775,0.059572,1,31,28800
P2-E1,clinical-sim,mild,fedprox,20260202,0.815768,0.745833,0.699941,0.046149,1,31,28800
P2-E1,clinical-sim,mild,fedprox,20260303,0.815633,0.765833,0.698191,0.056089,1,36,28800
P2-E1,clinical-sim,mild,fedprox,20260404,0.809837,0.739167,0.725407,0.034953,1,34,28800
P2-E1,clinical-sim,mild,fedprox,20260505,0.807532,0.759167,0.622571,0.068948,2,31,28800
P2-E1,clinical-sim,mild,fedprox,20260606,0.784397,0.703333,0.582258,0.080771,1,33,28800
P2-E1,clinical-sim,mild,fedprox,20260707,0.815748,0.749167,0.722646,0.044376,2,30,28800
P2-E1,clinical-sim,mild,fedprox,20260808,0.809494,0.750833,0.672005,0.052591,1,31,28800
P2-E1,clinical-sim,mild,fedprox,20260909,0.810112,0.763333,0.636364,0.059285,1,31,28800
P2-E1,clinical-sim,mild,fedprox,20261010,0.780486,0.7125,0.617055,0.081853,1,31,28800
P2-E1,clinical-sim,mild,fedprox,20261111,0.802924,0.7525,0.710607,0.043537,1,30,28800
P2-E1,clinical-sim,mild,fedprox,20261212,0.820881,0.771667,0.699122,0.051688,1,31,28800
P2-E1,clinical-sim,mild,fedprox,20261313,0.82124,0.7625,0.729365,0.042153,1,32,28800
P2-E1,clinical-sim,mild,fedprox,20261414,0.804349,0.7425,0.605385,0.074645,1,30,28800
P2-E1,clinical-sim,mild,fedprox,20261515,0.815085,0.760833,0.725786,0.038495,1,32,28800
P2-E1,clinical-sim,mild,fedprox,20261616,0.80355,0.736667,0.618126,0.066848,1,30,28800
P2-E1,clinical-sim,mild,fedprox,20261717,0.81713,0.759167,0.747495,0.039487,1,30,28800
P2-E1,clinical-sim,mild,fedprox,20261818,0.808318,0.723333,0.590959,0.084908,1,31,28800
P2-E1,clinical-sim,mild,fedprox,20261919,0.814373,0.755833,0.631001,0.072635,1,30,28800
P2-E1,clinical-sim,mild,weighted,20260000,0.819644,0.738333,0.738556,0.03855,1,32,28800
P2-E1,clinical-sim,mild,weighted,20260101,0.803048,0.741667,0.6775,0.059572,1,34,28800
P2-E1,clinical-sim,mild,weighted,20260202,0.815768,0.745833,0.699941,0.046149,1,31,28800
P2-E1,clinical-sim,mild,weighted,20260303,0.815633,0.765833,0.698191,0.056089,1,32,28800
P2-E1,clinical-sim,mild,weighted,20260404,0.809837,0.739167,0.725407,0.034953,1,32,28800
P2-E1,clinical-sim,mild,weighted,20260505,0.807532,0.759167,0.622571,0.068948,2,33,28800
P2-E1,clinical-sim,mild,weighted,20260606,0.784397,0.703333,0.582258,0.080771,1,30,28800
P2-E1,clinical-sim,mild,weighted,20260707,0.815748,0.749167,0.722646,0.044376,2,32,28800
P2-E1,clinical-sim,mild,weighted,20260808,0.809494,0.750833,0.672005,0.052591,1,30,28800
P2-E1,clinical-sim,mild,weighted,20260909,0.810112,0.763333,0.636364,0.059285,1,30,28800
P2-E1,clinical-sim,mild,weighted,20261010,0.780486,0.7125,0.617055,0.081853,1,31,28800
P2-E1,clinical-sim,mild,weighted,20261111,0.802924,0.7525,0.710607,0.043537,1,30,28800
P2-E1,clinical-sim,mild,weighted,20261212,0.820881,0.771667,0.699122,0.051688,1,31,28800
P2-E1,clinical-sim,mild,weighted,20261313,0.82124,0.7625,0.729365,0.042153,1,30,28800
P2-E1,clinical-sim,mild,weighted,20261414,0.804349,0.7425,0.605385,0.074645,1,31,28800
P2-E1,clinical-sim,mild,weighted,20261515,0.815085,0.760833,0.725786,0.038495,1,30,28800
P2-E1,clinical-sim,mild,weighted,20261616,0.80355,0.736667,0.618126,0.066848,1,30,28800
P2-E1,clinical-sim,mild,weighted,20261717,0.81713,0.759167,0.747495,0.039487,1,33,28800
P2-E1,clinical-sim,mild,weighted,20261818,0.808318,0.723333,0.590959,0.084908,1,29,28800
P2-E1,clinical-sim,mild,weighted,20261919,0.814373,0.755833,0.631001,0.072635,1,30,28800
P2-E1,clinical-sim,mild,median,20260000,0.798066,0.7175,0.716503,0.054839,1,31,28800
P2-E1,clinical-sim,mild,median,20260101,0.798726,0.74,0.675139,0.060042,1,32,28800
P2-E1,clinical-sim,mild,median,20260202,0.816505,0.749167,0.70243,0.046594,1,32,28800
P2-E1,clinical-sim,mild,median,20260303,0.810411,0.75,0.694901,0.060486,2,31,28800
P2-E1,clinical-sim,mild,median,20260404,0.802733,0.735833,0.724956,0.03477,1,29,28800
P2-E1,clinical-sim,mild,median,20260505,0.800707,0.75,0.622652,0.068684,3,30,28800
P2-E1,clinical-sim,mild,median,20260606,0.785644,0.715,0.579904,0.080308,1,31,28800
P2-E1,clinical-sim,mild,median,20260707,0.807782,0.746667,0.728692,0.040036,2,30,28800
P2-E1,clinical-sim,mild,median,20260808,0.808221,0.735833,0.662571,0.054685,1,30,28800
P2-E1,clinical-sim,mild,median,20260909,0.81155,0.761667,0.634682,0.057309,1,31,28800
P2-E1,clinical-sim,mild,median,20261010,0.773554,0.700833,0.608249,0.084651,1,30,28800
P2-E1,clinical-sim,mild,median,20261111,0.800085,0.745833,0.71171,0.043527,1,30,28800
P2-E1,clinical-sim,mild,median,20261212,0.817837,0.773333,0.695137,0.05341,1,31,28800
P2-E1,clinical-sim,mild,median,20261313,0.821852,0.758333,0.727547,0.044677,1,31,28800
P2-E1,clinical-sim,mild,median,20261414,0.800819,0.738333,0.604313,0.075441,1,32,28800
P2-E1,clinical-sim,mild,median,20261515,0.812129,0.756667,0.71595,0.040956,1,32,28800
P2-E1,clinical-sim,mild,median,20261616,0.79737,0.739167,0.618214,0.066125,1,34,28800
P2-E1,clinical-sim,mild,median,20261717,0.80627,0.744167,0.741262,0.042054,2,32,28800
P2-E1,clinical-sim,mild,median,20261818,0.800524,0.701667,0.565531,0.089998,1,30,28800
P2-E1,clinical-sim,mild,median,20261919,0.810548,0.750833,0.626171,0.072912,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260000,0.81686,0.735833,0.735525,0.040696,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260101,0.801388,0.738333,0.677083,0.059974,1,30,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260202,0.816018,0.746667,0.698039,0.046288,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260303,0.814711,0.764167,0.697016,0.057432,2,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260404,0.810042,0.741667,0.726027,0.034903,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260505,0.806248,0.755,0.623465,0.068673,2,32,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260606,0.782821,0.705,0.577079,0.082744,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260707,0.815015,0.749167,0.724959,0.043609,2,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260808,0.80899,0.75,0.66822,0.053289,1,32,28800
P2-E1,clinical-sim,mild,trimmed-mean,20260909,0.809811,0.760833,0.637289,0.058959,1,30,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261010,0.782142,0.71,0.613414,0.082524,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261111,0.802279,0.748333,0.710765,0.043753,1,34,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261212,0.82122,0.7725,0.699353,0.052205,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261313,0.819903,0.758333,0.728719,0.042801,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261414,0.804652,0.749167,0.605117,0.075361,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261515,0.814637,0.7625,0.724519,0.038938,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261616,0.803704,0.74,0.616819,0.067207,1,30,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261717,0.816645,0.7575,0.74985,0.038424,2,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261818,0.806244,0.7175,0.586564,0.085994,1,31,28800
P2-E1,clinical-sim,mild,trimmed-mean,20261919,0.813761,0.754167,0.631221,0.072616,1,31,28800
P2-E1,clinical-sim,mild,trust-weighted,20260000,0.812098,0.73,0.728731,0.046126,1,34,28800
P2-E1,clinical-sim,mild,trust-weighted,20260101,0.800877,0.735833,0.674514,0.060659,1,31,28800
P2-E1,clinical-sim,mild,trust-weighted,20260202,0.815735,0.748333,0.697746,0.046901,1,34,28800
P2-E1,clinical-sim,mild,trust-weighted,20260303,0.814837,0.764167,0.69355,0.059325,1,35,28800
P2-E1,clinical-sim,mild,trust-weighted,20260404,0.81037,0.738333,0.726535,0.034749,1,33,28800
P2-E1,clinical-sim,mild,trust-weighted,20260505,0.807355,0.759167,0.623709,0.068588,2,34,28800
P2-E1,clinical-sim,mild,trust-weighted,20260606,0.784476,0.705833,0.581882,0.0809,1,33,28800
P2-E1,clinical-sim,mild,trust-weighted,20260707,0.813204,0.748333,0.72517,0.043496,2,32,28800
P2-E1,clinical-sim,mild,trust-weighted,20260808,0.809444,0.748333,0.665191,0.054593,1,31,28800
P2-E1,clinical-sim,mild,trust-weighted,20260909,0.810081,0.761667,0.636532,0.059266,1,31,28800
P2-E1,clinical-sim,mild,trust-weighted,20261010,0.78212,0.715,0.614672,0.081981,1,31,28800
P2-E1,clinical-sim,mild,trust-weighted,20261111,0.802535,0.750833,0.709583,0.044197,1,31,28800
P2-E1,clinical-sim,mild,trust-weighted,20261212,0.820588,0.7675,0.698314,0.052338,1,33,28800
P2-E1,clinical-sim,mild,trust-weighted,20261313,0.821444,0.760833,0.728514,0.043572,1,32,28800
P2-E1,clinical-sim,mild,trust-weighted,20261414,0.804863,0.749167,0.606055,0.074779,1,33,28800
P2-E1,clinical-sim,mild,trust-weighted,20261515,0.814477,0.760833,0.722889,0.039395,1,32,28800
P2-E1,clinical-sim,mild,trust-weighted,20261616,0.802287,0.740833,0.612288,0.068942,1,32,28800
P2-E1,clinical-sim,mild,trust-weighted,20261717,0.816043,0.751667,0.744125,0.040773,1,32,28800
P2-E1,clinical-sim,mild,trust-weighted,20261818,0.805731,0.721667,0.585151,0.085797,1,32,28800
P2-E1,clinical-sim,mild,trust-weighted,20261919,0.81352,0.755,0.630123,0.072847,1,32,28800
P2-E1,clinical-sim,moderate,fedavg,20260000,0.821075,0.736667,0.488725,0.123608,2,30,28800
P2-E1,clinical-sim,moderate,fedavg,20260101,0.7863,0.72,0.59577,0.098576,3,32,28800
P2-E1,clinical-sim,moderate,fedavg,20260202,0.810367,0.755,0.49683,0.117804,1,32,28800
P2-E1,clinical-sim,moderate,fedavg,20260303,0.79908,0.745833,0.579586,0.100136,3,33,28800
P2-E1,clinical-sim,moderate,fedavg,20260404,0.75587,0.670833,0.577464,0.107687,4,30,28800
P2-E1,clinical-sim,moderate,fedavg,20260505,0.815793,0.755833,0.560902,0.107091,2,31,28800
P2-E1,clinical-sim,moderate,fedavg,20260606,0.775435,0.710833,0.526955,0.106233,3,30,28800
P2-E1,clinical-sim,moderate,fedavg,20260707,0.817994,0.746667,0.495288,0.137184,2,29,28800
P2-E1,clinical-sim,moderate,fedavg,20260808,0.803279,0.744167,0.519676,0.11339,1,30,28800
P2-E1,clinical-sim,moderate,fedavg,20260909,0.773178,0.6475,0.492122,0.117243,3,30,28800
P2-E1,clinical-sim,moderate,fedavg,20261010,0.79857,0.746667,0.468186,0.124149,1,30,28800
P2-E1,clinical-sim,moderate,fedavg,20261111,0.784578,0.714167,0.543181,0.109946,3,30,28800
P2-E1,clinical-sim,moderate,fedavg,20261212,0.822766,0.773333,0.519591,0.118113,1,30,28800
P2-E1,clinical-sim,moderate,fedavg,20261313,0.817373,0.748333,0.575302,0.101743,2,31,28800
P2-E1,clinical-sim,moderate,fedavg,20261414,0.770017,0.629167,0.457019,0.142894,1,30,28800
P2-E1,clinical-sim,moderate,fedavg,20261515,0.821934,0.763333,0.553072,0.103038,2,30,28800
P2-E1,clinical-sim,moderate,fedavg,20261616,0.808689,0.723333,0.523778,0.136389,1,33,28800
P2-E1,clinical-sim,moderate,fedavg,20261717,0.8157,0.756667,0.477091,0.123531,1,38,28800
P2-E1,clinical-sim,moderate,fedavg,20261818,0.815326,0.766667,0.567489,0.091141,1,32,28800
P2-E1,clinical-sim,moderate,fedavg,20261919,0.801767,0.731667,0.557718,0.094845,2,30,28800
P2-E1,clinical-sim,moderate,fedprox,20260000,0.821075,0.736667,0.488725,0.123608,2,30,28800
P2-E1,clinical-sim,moderate,fedprox,20260101,0.7863,0.72,0.59577,0.098576,3,31,28800
P2-E1,clinical-sim,moderate,fedprox,20260202,0.810367,0.755,0.49683,0.117804,1,30,28800
