experiment_id,domain,aggregation,attack_id,adversarial_fraction,seed,clean_auroc,attacked_auroc,abs_degradation,rel_degradation,worst_client_auroc,runtime_ms
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261212,0.822766,0.654026,0.16874,0.522793,0.535517,29
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261313,0.817373,0.66383,0.153543,0.483793,0.549022,29
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261414,0.770017,0.634934,0.135083,0.500275,0.445661,28
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261515,0.821934,0.691228,0.130706,0.406004,0.525201,29
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261616,0.808689,0.65803,0.150659,0.488061,0.398335,27
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261717,0.8157,0.660407,0.155292,0.491899,0.45912,29
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261818,0.815326,0.697848,0.117478,0.37256,0.548316,28
P2-E3,clinical-sim,fedavg,constant-5,0.2,20261919,0.801767,0.6285,0.173267,0.574174,0.474679,28
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260000,0.821075,0.666459,0.154616,0.481557,0.520153,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260101,0.7863,0.62094,0.16536,0.577576,0.519101,29
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260202,0.810367,0.63071,0.179657,0.578853,0.454389,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260303,0.79908,0.671832,0.127248,0.425464,0.512985,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260404,0.75587,0.638947,0.116922,0.456961,0.557292,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260505,0.815793,0.670044,0.145749,0.461532,0.468972,29
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260606,0.775435,0.629326,0.146109,0.530467,0.548973,29
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260707,0.817994,0.62764,0.190354,0.598608,0.491141,28
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260808,0.803279,0.637671,0.165609,0.54606,0.481793,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20260909,0.773178,0.621679,0.151499,0.55458,0.473608,25
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261010,0.79857,0.648603,0.149967,0.502285,0.462624,28
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261111,0.784578,0.638755,0.145822,0.512417,0.522499,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261212,0.822766,0.62565,0.197116,0.610708,0.528007,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261313,0.817373,0.644474,0.172899,0.544782,0.54077,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261414,0.770017,0.619764,0.150253,0.556456,0.473082,28
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261515,0.821934,0.658642,0.163291,0.50722,0.514071,28
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261616,0.808689,0.634078,0.174612,0.565655,0.415528,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261717,0.8157,0.628828,0.186872,0.591929,0.465348,27
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261818,0.815326,0.672117,0.143209,0.454162,0.525652,28
P2-E3,clinical-sim,fedavg,constant-5,0.3,20261919,0.801767,0.612214,0.189553,0.628144,0.453165,26
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260000,0.821075,0.634158,0.186916,0.582158,0.43244,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260101,0.7863,0.618205,0.168095,0.587128,0.539703,35
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260202,0.810367,0.650924,0.159443,0.513724,0.52857,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260303,0.79908,0.640238,0.158842,0.531102,0.517959,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260404,0.75587,0.628923,0.126947,0.496139,0.521991,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260505,0.815793,0.652663,0.16313,0.516571,0.468932,38
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260606,0.775435,0.600846,0.174589,0.633868,0.442061,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260707,0.817994,0.663637,0.154357,0.485409,0.506635,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260808,0.803279,0.652443,0.150836,0.49735,0.434291,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20260909,0.773178,0.600287,0.172891,0.632888,0.414904,31
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261010,0.79857,0.645641,0.152929,0.512204,0.447582,29
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261111,0.784578,0.637887,0.146691,0.515468,0.505991,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261212,0.822766,0.66153,0.161236,0.499545,0.519681,30
P2-E3,clinical-sim,fedavg,gaussian-5,0.1,20261313,0.817373,0.648934,0.168439,0.530728,0.440024,33
