experiment_id,domain,privacy_mode,epsilon_budget,seed,final_auroc,epsilon_spent,mia_auc,mia_advantage,mia_attack_accuracy
P2-E5,financial-sim,static-dp,1,20261515,0.691733,1.033895,0.508828,0.017656,0.52
P2-E5,financial-sim,static-dp,3,20261515,0.712702,3.008339,0.498392,-0.003216,0.515
P2-E5,financial-sim,static-dp,6,20261515,0.717428,5.993563,0.496232,-0.007536,0.516
P2-E5,financial-sim,static-dp,10,20261515,0.719145,9.995506,0.495916,-0.008168,0.512
P2-E5,financial-sim,no-dp,0,20261616,0.730612,0,0.421456,-0.157088,0.508
P2-E5,financial-sim,static-dp,1,20261616,0.738415,1.033895,0.48024,-0.03952,0.505
P2-E5,financial-sim,static-dp,3,20261616,0.738199,3.008339,0.460576,-0.078848,0.507
P2-E5,financial-sim,static-dp,6,20261616,0.736726,5.993563,0.455296,-0.089408,0.507
P2-E5,financial-sim,static-dp,10,20261616,0.736012,9.995506,0.453924,-0.092152,0.508
P2-E5,financial-sim,no-dp,0,20261717,0.756063,0,0.463424,-0.073152,0.511
P2-E5,financial-sim,static-dp,1,20261717,0.745732,1.033895,0.49362,-0.01276,0.515
P2-E5,financial-sim,static-dp,3,20261717,0.757187,3.008339,0.486032,-0.027936,0.509
P2-E5,financial-sim,static-dp,6,20261717,0.758129,5.993563,0.48384,-0.03232,0.509
P2-E5,financial-sim,static-dp,10,20261717,0.758183,9.995506,0.48264,-0.03472,0.51
P2-E5,financial-sim,no-dp,0,20261818,0.740909,0,0.47972,-0.04056,0.515
P2-E5,financial-sim,static-dp,1,20261818,0.68588,1.033895,0.482244,-0.035512,0.511
P2-E5,financial-sim,static-dp,3,20261818,0.720805,3.008339,0.483208,-0.033584,0.52
P2-E5,financial-sim,static-dp,6,20261818,0.728051,5.993563,0.483992,-0.032016,0.51
P2-E5,financial-sim,static-dp,10,20261818,0.730024,9.995506,0.485112,-0.029776,0.51
P2-E5,financial-sim,no-dp,0,20261919,0.730414,0,0.479728,-0.040544,0.515
P2-E5,financial-sim,static-dp,1,20261919,0.698809,1.033895,0.45158,-0.09684,0.51
P2-E5,financial-sim,static-dp,3,20261919,0.721508,3.008339,0.482804,-0.034392,0.514
P2-E5,financial-sim,static-dp,6,20261919,0.7221,5.993563,0.493372,-0.013256,0.512
P2-E5,financial-sim,static-dp,10,20261919,0.721885,9.995506,0.497564,-0.004872,0.512
