experiment_id,domain,privacy_mode,epsilon_budget,seed,final_auroc,epsilon_spent,convergence_round,worst_client_auroc,runtime_ms
P2-E2,financial-sim,adaptive-dp,3,20260606,0.709603,7.632414,17,0.505682,59
P2-E2,financial-sim,static-dp,6,20260606,0.721397,5.993563,17,0.498106,59
P2-E2,financial-sim,adaptive-dp,6,20260606,0.710284,8.004064,17,0.509233,60
P2-E2,financial-sim,static-dp,10,20260606,0.721322,9.995506,16,0.493134,59
P2-E2,financial-sim,adaptive-dp,10,20260606,0.713064,10.465998,17,0.514915,59
P2-E2,financial-sim,no-dp,0,20260707,0.717103,0,1,0.567451,51
P2-E2,financial-sim,static-dp,1,20260707,0.703457,1.033895,6,0.487647,63
P2-E2,financial-sim,adaptive-dp,1,20260707,0.703457,7.632414,6,0.487647,63
P2-E2,financial-sim,static-dp,3,20260707,0.713558,3.008339,3,0.498431,61
P2-E2,financial-sim,adaptive-dp,3,20260707,0.703457,7.632414,6,0.487647,62
P2-E2,financial-sim,static-dp,6,20260707,0.715483,5.993563,2,0.50451,60
P2-E2,financial-sim,adaptive-dp,6,20260707,0.703986,8.004064,6,0.489412,61
P2-E2,financial-sim,static-dp,10,20260707,0.71618,9.995506,2,0.509412,61
P2-E2,financial-sim,adaptive-dp,10,20260707,0.702308,10.465998,3,0.492549,61
P2-E2,financial-sim,no-dp,0,20260808,0.736872,0,1,0.480717,53
P2-E2,financial-sim,static-dp,1,20260808,0.729469,1.033895,3,0.457136,59
P2-E2,financial-sim,adaptive-dp,1,20260808,0.729469,7.632414,3,0.457136,60
P2-E2,financial-sim,static-dp,3,20260808,0.744784,3.008339,3,0.468435,59
P2-E2,financial-sim,adaptive-dp,3,20260808,0.729469,7.632414,3,0.457136,60
P2-E2,financial-sim,static-dp,6,20260808,0.745336,5.993563,3,0.46254,59
P2-E2,financial-sim,adaptive-dp,6,20260808,0.729044,8.004064,3,0.461557,60
P2-E2,financial-sim,static-dp,10,20260808,0.745101,9.995506,3,0.462786,60
P2-E2,financial-sim,adaptive-dp,10,20260808,0.73083,10.465998,3,0.478752,59
P2-E2,financial-sim,no-dp,0,20260909,0.749372,0,1,0.524259,52
P2-E2,financial-sim,static-dp,1,20260909,0.711388,1.033895,1,0.474208,59
P2-E2,financial-sim,adaptive-dp,1,20260909,0.711388,7.632414,1,0.474208,60
P2-E2,financial-sim,static-dp,3,20260909,0.732995,3.008339,1,0.487998,60
P2-E2,financial-sim,adaptive-dp,3,20260909,0.711388,7.632414,1,0.474208,61
P2-E2,financial-sim,static-dp,6,20260909,0.738103,5.993563,1,0.498979,59
P2-E2,financial-sim,adaptive-dp,6,20260909,0.713152,8.004064,1,0.472932,61
P2-E2,financial-sim,static-dp,10,20260909,0.739902,9.995506,1,0.505618,60
P2-E2,financial-sim,adaptive-dp,10,20260909,0.708491,10.465998,1,0.469356,60
P2-E2,financial-sim,no-dp,0,20261010,0.697503,0,5,0.5228,51
P2-E2,financial-sim,static-dp,1,20261010,0.693251,1.033895,31,0.495825,63
P2-E2,financial-sim,adaptive-dp,1,20261010,0.693251,7.632414,31,0.495825,68
P2-E2,financial-sim,static-dp,3,20261010,0.694854,3.008339,1,0.510383,66
P2-E2,financial-sim,adaptive-dp,3,20261010,0.693251,7.632414,31,0.495825,63
P2-E2,financial-sim,static-dp,6,20261010,0.693495,5.993563,1,0.516164,63
P2-E2,financial-sim,adaptive-dp,6,20261010,0.693289,8.004064,31,0.496682,63
P2-E2,financial-sim,static-dp,10,20261010,0.692649,9.995506,1,0.518519,59
P2-E2,financial-sim,adaptive-dp,10,20261010,0.692937,10.465998,1,0.494969,61
P2-E2,financial-sim,no-dp,0,20261111,0.759479,0,6,0.435904,53
P2-E2,financial-sim,static-dp,1,20261111,0.735855,1.033895,10,0.4262,63
P2-E2,financial-sim,adaptive-dp,1,20261111,0.735855,7.632414,10,0.4262,64
P2-E2,financial-sim,static-dp,3,20261111,0.750679,3.008339,5,0.426966,62
P2-E2,financial-sim,adaptive-dp,3,20261111,0.735855,7.632414,10,0.4262,64
P2-E2,financial-sim,static-dp,6,20261111,0.751969,5.993563,4,0.432074,61
P2-E2,financial-sim,adaptive-dp,6,20261111,0.73347,8.004064,6,0.429265,65
P2-E2,financial-sim,static-dp,10,20261111,0.752012,9.995506,1,0.43335,62
P2-E2,financial-sim,adaptive-dp,10,20261111,0.733121,10.465998,2,0.427732,63
P2-E2,financial-sim,no-dp,0,20261212,0.750862,0,7,0.504076,53
P2-E2,financial-sim,static-dp,1,20261212,0.677936,1.033895,4,0.388848,64
P2-E2,financial-sim,adaptive-dp,1,20261212,0.677936,7.632414,4,0.388848,62
P2-E2,financial-sim,static-dp,3,20261212,0.719043,3.008339,4,0.449275,61
P2-E2,financial-sim,adaptive-dp,3,20261212,0.677936,7.632414,4,0.388848,62
P2-E2,financial-sim,static-dp,6,20261212,0.727679,5.993563,1,0.46254,60
P2-E2,financial-sim,adaptive-dp,6,20261212,0.67967,8.004064,3,0.388357,60
P2-E2,financial-sim,static-dp,10,20261212,0.730095,9.995506,1,0.472611,61
P2-E2,financial-sim,adaptive-dp,10,20261212,0.679512,10.465998,1,0.406534,61
P2-E2,financial-sim,no-dp,0,20261313,0.746391,0,6,0.499337,51
P2-E2,financial-sim,static-dp,1,20261313,0.718574,1.033895,26,0.517462,61
P2-E2,financial-sim,adaptive-dp,1,20261313,0.718574,7.632414,26,0.517462,64
P2-E2,financial-sim,static-dp,3,20261313,0.734318,3.008339,22,0.50221,59
P2-E2,financial-sim,adaptive-dp,3,20261313,0.718574,7.632414,26,0.517462,62
P2-E2,financial-sim,static-dp,6,20261313,0.735514,5.993563,2,0.499558,61
P2-E2,financial-sim,adaptive-dp,6,20261313,0.718883,8.004064,25,0.518347,64
P2-E2,financial-sim,static-dp,10,20261313,0.735649,9.995506,1,0.498674,59
P2-E2,financial-sim,adaptive-dp,10,20261313,0.717556,10.465998,2,0.522767,59
P2-E2,financial-sim,no-dp,0,20261414,0.735347,0,7,0.542964,54
P2-E2,financial-sim,static-dp,1,20261414,0.740035,1.033895,37,0.527268,61
P2-E2,financial-sim,adaptive-dp,1,20261414,0.740035,7.632414,37,0.527268,61
P2-E2,financial-sim,static-dp,3,20261414,0.738883,3.008339,27,0.537111,65
P2-E2,financial-sim,adaptive-dp,3,20261414,0.740035,7.632414,37,0.527268,63
P2-E2,financial-sim,static-dp,6,20261414,0.736651,5.993563,2,0.537643,76
P2-E2,financial-sim,adaptive-dp,6,20261414,0.7396,8.004064,37,0.527002,66
P2-E2,financial-sim,static-dp,10,20261414,0.735443,9.995506,1,0.537111,63
P2-E2,financial-sim,adaptive-dp,10,20261414,0.740434,10.465998,37,0.52962,61
